id,time,topic,type,indicator,value,frequency,unit
DE256,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.40,monthly,°C
DE256,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.21,monthly,°C
DE257,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-12.47,monthly,°C
DE257,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.17,monthly,°C
DE257,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.45,monthly,°C
DE257,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-5.77,monthly,°C
DE258,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.91,monthly,°C
DE258,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,0.05,monthly,°C
DE258,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.59,monthly,°C
DE258,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.57,monthly,°C
DE259,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.59,monthly,°C
DE259,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-0.67,monthly,°C
DE259,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.69,monthly,°C
DE259,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.75,monthly,°C
DEG0L,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-8.95,monthly,°C
DEG0L,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-5.21,monthly,°C
DEG0L,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.54,monthly,°C
DEG0L,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-6.40,monthly,°C
DEG0M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.17,monthly,°C
DEG0M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-4.11,monthly,°C
DEG0M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-5.05,monthly,°C
DEG0M,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.94,monthly,°C
DEG0N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-9.85,monthly,°C
DEG0N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-8.07,monthly,°C
DEG0N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-8.85,monthly,°C
DEG0N,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-8.91,monthly,°C
DE401,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-3.49,monthly,°C
DE401,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.25,monthly,°C
DE401,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.84,monthly,°C
DE401,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.97,monthly,°C
